Zeit	Kanal A
(s)	(mV)

-10.00000095	-71.12758000
-10.00000075	-66.37549000
-10.00000055	-75.86429000
-10.00000035	-71.12758000
-10.00000015	-71.12758000
-9.99999995	-66.37549000
-9.99999975	-71.12758000
-9.99999955	-71.12758000
-9.99999935	-66.37549000
-9.99999915	-61.63877000
-9.99999895	-66.37549000
-9.99999875	-71.12758000
-9.99999855	-80.60101000
-9.99999835	-71.12758000
-9.99999815	-71.12758000
-9.99999795	-80.60101000
-9.99999775	-75.86429000
-9.99999755	-71.12758000
-9.99999735	-71.12758000
-9.99999715	-80.60101000
-9.99999695	-66.37549000
-9.99999675	-66.37549000
-9.99999655	-61.63877000
-9.99999635	-75.86429000
-9.99999615	-71.12758000
-9.99999595	-75.86429000
-9.99999575	-71.12758000
-9.99999555	-80.60101000
-9.99999535	-71.12758000
-9.99999515	-66.37549000
-9.99999495	-71.12758000
-9.99999475	-75.86429000
-9.99999455	-61.63877000
-9.99999435	-80.60101000
-9.99999415	-71.12758000
-9.99999395	-75.86429000
-9.99999375	-66.37549000
-9.99999355	-71.12758000
-9.99999335	-80.60101000
-9.99999315	-66.37549000
-9.99999295	-75.86429000
-9.99999275	-66.37549000
-9.99999255	-75.86429000
-9.99999235	-75.86429000
-9.99999215	-80.60101000
-9.99999195	-71.12758000
-9.99999175	-71.12758000
-9.99999155	-66.37549000
-9.99999135	-75.86429000
-9.99999115	-75.86429000
-9.99999095	-71.12758000
-9.99999075	-75.86429000
-9.99999055	-75.86429000
-9.99999035	-66.37549000
-9.99999015	-75.86429000
-9.99998995	-71.12758000
-9.99998975	-71.12758000
-9.99998955	-71.12758000
-9.99998935	-71.12758000
-9.99998915	-80.60101000
-9.99998895	-75.86429000
-9.99998875	-71.12758000
-9.99998855	-71.12758000
-9.99998835	-71.12758000
-9.99998815	-66.37549000
-9.99998795	-75.86429000
-9.99998775	-71.12758000
-9.99998755	-80.60101000
-9.99998735	-71.12758000
-9.99998715	-66.37549000
-9.99998695	-75.86429000
-9.99998675	-71.12758000
-9.99998655	-75.86429000
-9.99998635	-75.86429000
-9.99998615	-75.86429000
-9.99998595	-71.12758000
-9.99998575	-71.12758000
-9.99998555	-66.37549000
-9.99998535	-66.37549000
-9.99998515	-71.12758000
-9.99998495	-80.60101000
-9.99998475	-75.86429000
-9.99998455	-75.86429000
-9.99998435	-75.86429000
-9.99998415	-80.60101000
-9.99998395	-75.86429000
-9.99998375	-66.37549000
-9.99998355	-66.37549000
-9.99998335	-75.86429000
-9.99998315	-75.86429000
-9.99998295	-85.35310000
-9.99998275	-66.37549000
-9.99998255	-66.37549000
-9.99998235	-80.60101000
-9.99998215	-71.12758000
-9.99998195	-75.86429000
-9.99998175	-71.12758000
-9.99998155	-71.12758000
-9.99998135	-71.12758000
-9.99998115	-85.35310000
-9.99998095	-75.86429000
-9.99998075	-80.60101000
-9.99998055	-75.86429000
-9.99998035	-75.86429000
-9.99998015	-80.60101000
-9.99997995	-71.12758000
-9.99997975	-75.86429000
-9.99997955	-80.60101000
-9.99997935	-71.12758000
-9.99997915	-71.12758000
-9.99997895	-66.37549000
-9.99997875	-75.86429000
-9.99997855	-80.60101000
-9.99997835	-75.86429000
-9.99997815	-71.12758000
-9.99997795	-66.37549000
-9.99997775	-71.12758000
-9.99997755	-75.86429000
-9.99997735	-71.12758000
-9.99997715	-66.37549000
-9.99997695	-71.12758000
-9.99997675	-80.60101000
-9.99997655	-75.86429000
-9.99997635	-71.12758000
-9.99997615	-75.86429000
-9.99997595	-66.37549000
-9.99997575	-75.86429000
-9.99997555	-80.60101000
-9.99997535	-71.12758000
-9.99997515	-75.86429000
-9.99997495	-71.12758000
-9.99997475	-85.35310000
-9.99997455	-80.60101000
-9.99997435	-66.37549000
-9.99997415	-85.35310000
-9.99997395	-61.63877000
-9.99997375	-75.86429000
-9.99997355	-71.12758000
-9.99997335	-85.35310000
-9.99997315	-66.37549000
-9.99997295	-80.60101000
-9.99997275	-75.86429000
-9.99997255	-71.12758000
-9.99997235	-71.12758000
-9.99997215	-75.86429000
-9.99997195	-75.86429000
-9.99997175	-66.37549000
-9.99997155	-71.12758000
-9.99997135	-80.60101000
